FILENAME|OBS_ID|PROGRAM|OBS_NUM|VISIT|VISIT_ID|VISITGRP|VISITYPE|SEQ_ID|ACT_ID|EXPOSURE|EXP_TYPE|NEXPOSUR|EXPCOUNT|INSTRUME|DETECTOR|CHANNEL|TARGETID|TARGPROP|TARGNAME|TARGTYPE|TEMPLATE|PNTGTYPE|PNTG_SEQ|TARGORDN|EXPSPCIN|DITHPTIN|MOSTILNO|MODULE|FILTER|PUPIL|DITHERID|PATTTYPE|PATTSTRT|NUMDTHPT|PATTSIZE|SUBPXPTS|PATT_NUM|SUBPIXEL|APERNAME|SDP_VER|SUBARRAY|GRATING|FXD_SLIT|BAND|GWA_XTIL|GWA_YTIL|ASN_CANDIDATE|EXPOSERR|IS_PSF|IS_IMPRT|BKGDTARG|TSOVISIT|MSASTATE|MSAMETFL|OPMODE|LAMP|SPEC_NUM|SPAT_NUM|DMS_NOTE|EXSEGTOT|NINTS|NGROUPS|MTSHADOW
jw01366001001_02101_00001-seg001_nis_uncal.fits|V01366001001P0000000002101|1366|1|1|01366001001|2|PRIME_TARGETED_FIXED|1|01|1|NIS_TACQ|6|1|NIRISS|NIS|NULL|1|WASP-39|WASP-39|FIXED|NIRISS Single-Object Slitless Spectroscopy|TARGET_ACQUISITION|1|0|0|0|0|NULL|F480M|CLEARP|NULL|NONE|NULL|1|NULL|NULL|0|NULL|NIS_SOSSTA|2025_4a|SUBTASOSS|NULL|NULL|NULL|NULL|NULL|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NONE|NULL|NULL|NULL|1|1|13|NONE
jw01366001001_02101_00002-seg001_nis_uncal.fits|V01366001001P0000000002101|1366|1|1|01366001001|2|PRIME_TARGETED_FIXED|1|01|2|NIS_TACQ|6|1|NIRISS|NIS|NULL|1|WASP-39|WASP-39|FIXED|NIRISS Single-Object Slitless Spectroscopy|TARGET_ACQUISITION|1|0|0|0|0|NULL|F480M|CLEARP|NULL|NONE|NULL|1|NULL|NULL|0|NULL|NIS_SOSSTA|2025_4a|SUBTASOSS|NULL|NULL|NULL|NULL|NULL|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NONE|NULL|NULL|NULL|1|1|13|NONE
jw01366001001_02101_00003-seg001_nis_uncal.fits|V01366001001P0000000002101|1366|1|1|01366001001|2|PRIME_TARGETED_FIXED|1|01|3|NIS_TACQ|6|1|NIRISS|NIS|NULL|1|WASP-39|WASP-39|FIXED|NIRISS Single-Object Slitless Spectroscopy|TARGET_ACQUISITION|1|0|0|0|0|NULL|F480M|CLEARP|NULL|NONE|NULL|1|NULL|NULL|0|NULL|NIS_SOSSTA|2025_4a|SUBTASOSS|NULL|NULL|NULL|NULL|NULL|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NONE|NULL|NULL|NULL|1|1|13|NONE
jw01366001001_02101_00004-seg001_nis_uncal.fits|V01366001001P0000000002101|1366|1|1|01366001001|2|PRIME_TARGETED_FIXED|1|01|4|NIS_TACONFIRM|6|1|NIRISS|NIS|NULL|1|WASP-39|WASP-39|FIXED|NIRISS Single-Object Slitless Spectroscopy|TARGET_ACQUISITION|1|0|0|0|0|NULL|F480M|CLEARP|NULL|NONE|NULL|1|NULL|NULL|0|NULL|NIS_SOSSTA|2025_4a|SUBTASOSS|NULL|NULL|NULL|NULL|NULL|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NONE|NULL|NULL|NULL|1|1|13|NONE
jw01366001001_04101_00001-seg001_nis_uncal.fits|V01366001001P0000000004101|1366|1|1|01366001001|4|PRIME_TARGETED_FIXED|1|01|1|NIS_SOSS|6|5|NIRISS|NIS|NULL|1|WASP-39|WASP-39|FIXED|NIRISS Single-Object Slitless Spectroscopy|SCIENCE|2|1|1|1|1|NULL|CLEAR|GR700XD|NULL|NULL|NULL|1|NULL|NULL|1|NULL|NIS_SUBSTRIP256|2025_4a|SUBSTRIP256|NULL|NULL|NULL|NULL|NULL|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NONE|NULL|NULL|NULL|4|537|9|NONE
jw01366001001_04101_00001-seg002_nis_uncal.fits|V01366001001P0000000004101|1366|1|1|01366001001|4|PRIME_TARGETED_FIXED|1|01|1|NIS_SOSS|6|5|NIRISS|NIS|NULL|1|WASP-39|WASP-39|FIXED|NIRISS Single-Object Slitless Spectroscopy|SCIENCE|2|1|1|1|1|NULL|CLEAR|GR700XD|NULL|NULL|NULL|1|NULL|NULL|1|NULL|NIS_SUBSTRIP256|2025_4a|SUBSTRIP256|NULL|NULL|NULL|NULL|NULL|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NONE|NULL|NULL|NULL|4|537|9|NONE
jw01366001001_04101_00001-seg003_nis_uncal.fits|V01366001001P0000000004101|1366|1|1|01366001001|4|PRIME_TARGETED_FIXED|1|01|1|NIS_SOSS|6|5|NIRISS|NIS|NULL|1|WASP-39|WASP-39|FIXED|NIRISS Single-Object Slitless Spectroscopy|SCIENCE|2|1|1|1|1|NULL|CLEAR|GR700XD|NULL|NULL|NULL|1|NULL|NULL|1|NULL|NIS_SUBSTRIP256|2025_4a|SUBSTRIP256|NULL|NULL|NULL|NULL|NULL|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NONE|NULL|NULL|NULL|4|537|9|NONE
jw01366001001_04101_00001-seg004_nis_uncal.fits|V01366001001P0000000004101|1366|1|1|01366001001|4|PRIME_TARGETED_FIXED|1|01|1|NIS_SOSS|6|5|NIRISS|NIS|NULL|1|WASP-39|WASP-39|FIXED|NIRISS Single-Object Slitless Spectroscopy|SCIENCE|2|1|1|1|1|NULL|CLEAR|GR700XD|NULL|NULL|NULL|1|NULL|NULL|1|NULL|NIS_SUBSTRIP256|2025_4a|SUBSTRIP256|NULL|NULL|NULL|NULL|NULL|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NONE|NULL|NULL|NULL|4|537|9|NONE
jw01366001001_04102_00001-seg001_nis_uncal.fits|V01366001001P0000000004102|1366|1|1|01366001001|4|PRIME_TARGETED_FIXED|1|02|1|NIS_SOSS|6|6|NIRISS|NIS|NULL|1|WASP-39|WASP-39|FIXED|NIRISS Single-Object Slitless Spectroscopy|SCIENCE|3|1|2|1|1|NULL|F277W|GR700XD|NULL|NULL|NULL|1|NULL|NULL|1|NULL|NIS_SUBSTRIP256|2025_4a|SUBSTRIP256|NULL|NULL|NULL|NULL|NULL|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NONE|NULL|NULL|NULL|1|10|9|NONE
jw01366002001_02102_00001-seg001_nrcalong_uncal.fits|V01366002001P0000000002102|1366|2|1|01366002001|2|PRIME_TARGETED_FIXED|1|02|1|NRC_TACQ|2|1|NIRCAM|NRCALONG|LONG|1|WASP-39|WASP-39|FIXED|NIRCam Grism Time Series|TARGET_ACQUISITION|1|0|0|0|0|A|F335M|CLEAR|NULL|NONE|NULL|1|NULL|NULL|0|NULL|NRCA5_TAGRISMTS32|2025_4a|SUB32TATSGRISM|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|1|17|NONE
